,obs_mean,obs_summer_mean,obs_warmest_mean,obs_coldest_mean,obs_ice_duration,obs_cloud_mean,obs_cloud_summer_mean,obs_cloud_warmest_mean,obs_cloud_coldest_mean
300001016,1.9743750792320323,6.1292002997283275,9.900529052298625,-0.00034179687497720013,261.8,2.073629765922677,6.761791786457419,10.142135803446932,-0.00034179687497720013
300001009,1.7466165369007007,6.025109608968123,10.374852957776822,-0.00034179687497720013,282.73333333333335,1.894323508419231,7.150481020318021,10.954039054109609,-0.00034179687497720013
80,3.077083147402547,8.360589164236343,13.44913596833481,-0.00034179687497720013,231.26666666666668,3.6202406144598456,8.245496152826675,13.65055035165522,-0.00034179687497720013
548,3.7512612112342474,10.782504353979103,13.227775064609876,-0.00034179687497720013,206.0,5.166737917154662,10.82135087639774,13.381803844815007,-0.00034179687497720013
300001053,1.5836257221040904,3.994728613590873,7.407965678553454,-0.00034179687497720013,258.26666666666665,2.1036782924598096,3.9705244720790045,7.45234393895887,-0.00034179687497720013
300001041,2.1757937177498294,7.21576658516117,11.326547537909638,-0.00034179687497720013,268.93333333333334,2.2295679358928613,7.099861235402627,11.392428357172351,-0.00034179687497720013
431,1.9346975929597936,-0.0003417532059907767,8.662775622132028,-0.00034179687497720013,247.53333333333333,2.4032867267710776,-0.0003417968749772,8.886184185925917,-0.00034179687497720013
300001007,0.9736844898583136,2.9458279093682718,6.220744266304944,-0.00034179687497720013,292.6,0.8761257545439541,3.2472635954124724,6.115525149015744,-0.00034179687497720013
218,1.5878281999288746,3.577985296387627,7.541933753766775,-0.00034179687497720013,259.26666666666665,1.4038070236272049,2.641347884295304,7.609019171514651,-0.00034179687497720013
338,4.038959002625583,10.057210163802019,14.634301753862847,-0.00034179687497720013,198.53333333333333,4.049297476449003,9.272966448654838,13.995469864633238,-0.00034179687497720013
300001048,2.874290541824999,8.99877045210766,12.945846227687158,-0.00034179687497720013,247.93333333333334,3.9890502818676072,9.895924824307343,12.988499751522225,-0.00034179687497720013
